ActivityId,Type,Name,Website,Google_Map_Link,Total_reviews,ImageCount
Kyoto-1145,Garden,Murin-an Garden,https://murin-an.jp/,"https://www.google.com/maps/place/Murin-an+Garden/@35.0115712,135.7872752,17z/data=!4m15!1m8!3m7!1s0x600108e093e69ddd:0xe951a45cb6a8f18e!2sMurin-an+Garden!8m2!3d35.0115712!4d135.7872752!10e1!16s%2Fm%2F0hzqm_b!3m5!1s0x600108e093e69ddd:0xe951a45cb6a8f18e!8m2!3d35.0115712!4d135.7872752!16s%2Fm%2F0hzqm_b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",1475,4
Kyoto-1146,Garden,Sogenchi Teien,http://www.tenryuji.com/precincts/index.html,"https://www.google.com/maps/place/Sogenchi+Teien/@35.0156747,135.6734447,17z/data=!4m15!1m8!3m7!1s0x6001aa016d847105:0xb468093344e6c5ad!2sSogenchi+Teien!8m2!3d35.0156747!4d135.6734447!10e1!16s%2Fg%2F11ckvldt79!3m5!1s0x6001aa016d847105:0xb468093344e6c5ad!8m2!3d35.0156747!4d135.6734447!16s%2Fg%2F11ckvldt79?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",463,1
Kyoto-1147,Garden,Okochi Sanso Garden,,"https://www.google.com/maps/place/Okochi+Sanso+Garden/@35.0167147,135.6699227,17z/data=!4m15!1m8!3m7!1s0x6001aa04f6d03719:0x4f8ea03397773abf!2sOkochi+Sanso+Garden!8m2!3d35.0167147!4d135.6699227!10e1!16s%2Fm%2F0fpjdhz!3m5!1s0x6001aa04f6d03719:0x4f8ea03397773abf!8m2!3d35.0167147!4d135.6699227!16s%2Fm%2F0fpjdhz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",1592,0
Kyoto-1148,Castle,Fushimi-Momoyama-jō Castle,https://www.city.kyoto.lg.jp/fushimi/page/0000013318.html,"https://www.google.com/maps/place/Fushimi-Momoyama-j%C5%8D+Castle/@34.9394686,135.7769255,17z/data=!4m15!1m8!3m7!1s0x60010fb991f14e25:0x9f5973c4345ebf1b!2sFushimi-Momoyama-j%C5%8D+Castle!8m2!3d34.9394686!4d135.7769255!10e1!16s%2Fg%2F1224bsn3!3m5!1s0x60010fb991f14e25:0x9f5973c4345ebf1b!8m2!3d34.9394686!4d135.7769255!16s%2Fg%2F1224bsn3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",1578,0
Kyoto-1149,Historical landmark,Teradaya Historic Site,,"https://www.google.com/maps/place/Teradaya+Historic+Site/@34.9301977,135.7596743,17z/data=!4m15!1m8!3m7!1s0x60010fe35172cccd:0x3d61a00c84a89816!2sTeradaya+Historic+Site!8m2!3d34.9301977!4d135.7596743!10e1!16s%2Fg%2F11qqm09j0x!3m5!1s0x60010fe35172cccd:0x3d61a00c84a89816!8m2!3d34.9301977!4d135.7596743!16s%2Fg%2F11qqm09j0x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",65,0
Kyoto-1150,Shinto shrine,Fushimi Inari Taisha Honden (Sanctuary),http://inari.jp/sp/map/spot_03/,"https://www.google.com/maps/place/Fushimi+Inari+Taisha+Honden+(Sanctuary)/@34.9671721,135.7733887,17z/data=!4m15!1m8!3m7!1s0x60010f1507434d65:0xc000d693e6ad883a!2sFushimi+Inari+Taisha+Honden+(Sanctuary)!8m2!3d34.9671721!4d135.7733887!10e1!16s%2Fg%2F11d_9hypqj!3m5!1s0x60010f1507434d65:0xc000d693e6ad883a!8m2!3d34.9671721!4d135.7733887!16s%2Fg%2F11d_9hypqj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",138,2
Kyoto-1151,,Teradaya Inn,https://ja.kyoto.travel/tourism/single01.php?category_id=8&tourism_id=940,"https://www.google.com/maps/place/Teradaya+Inn/@34.930297,135.7595609,17z/data=!4m21!1m11!3m10!1s0x60010f8db695dc13:0x5df1d3c1adee13a3!2sTeradaya+Inn!5m2!4m1!1i2!8m2!3d34.930297!4d135.7595609!10e1!16s%2Fg%2F1tgzb7s9!3m8!1s0x60010f8db695dc13:0x5df1d3c1adee13a3!5m2!4m1!1i2!8m2!3d34.930297!4d135.7595609!16s%2Fg%2F1tgzb7s9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",2115,0
Kyoto-1152,Historical landmark,Mausoleum of Emperor Meiji at Fushimi Momoyama,http://www.kunaicho.go.jp/ryobo/guide/122/index.html,"https://www.google.com/maps/place/Mausoleum+of+Emperor+Meiji+at+Fushimi+Momoyama/@34.9369315,135.7811583,17z/data=!4m15!1m8!3m7!1s0x60010fb7e2dc3301:0x3658c42300399fb!2sMausoleum+of+Emperor+Meiji+at+Fushimi+Momoyama!8m2!3d34.9369315!4d135.7811583!10e1!16s%2Fg%2F122wttvx!3m5!1s0x60010fb7e2dc3301:0x3658c42300399fb!8m2!3d34.9369315!4d135.7811583!16s%2Fg%2F122wttvx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",336,0
Kyoto-1153,Historical landmark,伏見運河,,"https://www.google.com/maps/place/%E4%BC%8F%E8%A6%8B%E9%81%8B%E6%B2%B3/@34.927972,135.7620317,17z/data=!4m15!1m8!3m7!1s0x60010f254dba3ef1:0x9ee87379b3cd24d5!2z5LyP6KaL6YGL5rKz!8m2!3d34.927972!4d135.7620317!10e1!16s%2Fg%2F11r9tn7rd1!3m5!1s0x60010f254dba3ef1:0x9ee87379b3cd24d5!8m2!3d34.927972!4d135.7620317!16s%2Fg%2F11r9tn7rd1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",12,0
Kyoto-1154,Historical landmark,Shigetsu Castle Ruins,https://www.kyoto-be.ne.jp/bunkazai/cms/?p=2276,"https://www.google.com/maps/place/Shigetsu+Castle+Ruins/@34.930339,135.7700619,17z/data=!4m15!1m8!3m7!1s0x60010fc1c986e933:0x9e7fcde9b64bef4b!2sShigetsu+Castle+Ruins!8m2!3d34.930339!4d135.7700619!10e1!16s%2Fg%2F11bwkglp3x!3m5!1s0x60010fc1c986e933:0x9e7fcde9b64bef4b!8m2!3d34.930339!4d135.7700619!16s%2Fg%2F11bwkglp3x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",41,0
